price,brand,"model",make_year,kilometer,engine," fuel",current_price
1299000,Hyundai,"Magna",2008,"49000","1200","petrol",  3056000
2400000,Hyundai,"Magna",2015,"30000","1200","petrol", 3056000
4450000,Hyundai,"Creta",2016,"30000","1600","petrol", 6600000
1900000,"Maruti suzuki ","swift",2013,"41000","1200","petrol", 3399000
1325000,"Maruti suzuki ","dzire",2009,"41000","1300","petrol", 3279000
3150000,Maruti suzuki,"vitara",2016,"31000","1248","disel", 4469000
1525000,Ford,"classis titanium",2014,"39000","1600","petrol", 2500000
3800000,Hyundai,"Creta",2015,"33000","1600","petrol", 6600000
1550000,Maruti suzuki,"ALTO",2017,"21000","800","petrol", 1950000
1700000,Maruti suzuki,"celerio",2014,"29000","1000","petrol", 2679000
2250000,Maruti suzuki,"swift",2015,"27000","1200","petrol", 3399000
2200000,Hyundai,"Xcent",2016,"26000","1200","petrol", 3700000
1025000,Kia,"Picanto",2008,"56000","1100","petrol", 2445000
1615000,Hyundai,"ASTA",2010,"56000","1200","petrol", 3696000
6700000,Toyota,"Hilux",2015,"59000","3000","disel", 8750000
2325000,Maruti suzuki,"Baleno",2016,"34000","1200","petrol", 3899000
1400000,Maruti suzuki,"Wagon",2013,"43000","1000","petrol", 2700000
1625000,Toyota,"Corolla",2004,"80000","1600","petrol", 3899000
2150000,Maruti suzuki,"Dzire",2013,"48000","1200","petrol", 3279000
2425000,Ford,"Ecosport",2015,"38000","1500","petrol", 3700000
2200000,Hyundai,"Xcent",2014,"28000","1200","petrol", 3700000
3400000,Daihatsu,"Terios",2010,"50000","1500","petrol", 5800000
2525000,Ford,"EcoSport",2013,"38000","1500","petrol", 3700000
2125000,Hyundai,"Grand",2015,"30000","1200","petrol", 3000000
2075000,Volkswagen,"Polo",2014,"40000","1600","petrol", 3200000
1175000,Maruti Suzuki,"Zen",2010,"40000","1000","petrol", 2400000
1600000,Maruti Suzuki,"Celerio",2014,"50000","1000","petrol", 2679000
4000000,Mahindra,"Scorpio",2019,"49000","2200","disel",5000000
2950000,Hyundai,"Elite",2017,"22000","1200","petrol", 3000000
1300000,Maruti Suzuki,"Alto",2013,"35000","800","petrol", 1950000
2525000,Honda,"SVMT",2014,"59000","1500","petrol", 3750000
1945000,"Hyundai ","Grand",2014,"42000","1200","petrol", 3000000
200000,Tata,"Tiago",2017,"100000","1199","petrol", 2400000
6500000,Toyota,"Hiace",2017,"65000","2494","diesel", 7000000
460000,Maruti Suzuki,"Omni",2011,"55000","800","petrol", 1099000
6096000,Hyundai,"Creta",2015,"65000","1582","diesel", 6600000
4200000,Volkswagen,"Tiguan",2010,"27000","2000","petrol", 12300000
